feature_set,model,fpr,tpr,auc,n
DSP,Logistic,0.035555555555555556,0.3099639314697926,0.6278711369784409,6911
DSP,Logistic,0.035555555555555556,0.3106402164111812,0.6278711369784409,6911
DSP,Logistic,0.03636363636363636,0.3106402164111812,0.6278711369784409,6911
DSP,Logistic,0.03636363636363636,0.3113165013525699,0.6278711369784409,6911
DSP,Logistic,0.03676767676767677,0.3113165013525699,0.6278711369784409,6911
DSP,Logistic,0.03676767676767677,0.31154192966636607,0.6278711369784409,6911
DSP,Logistic,0.037171717171717175,0.31154192966636607,0.6278711369784409,6911
DSP,Logistic,0.037171717171717175,0.3140216411181244,0.6278711369784409,6911
DSP,Logistic,0.037575757575757575,0.3140216411181244,0.6278711369784409,6911
DSP,Logistic,0.037575757575757575,0.3146979260595131,0.6278711369784409,6911
DSP,Logistic,0.03797979797979798,0.3146979260595131,0.6278711369784409,6911
DSP,Logistic,0.03797979797979798,0.316726780883679,0.6278711369784409,6911
DSP,Logistic,0.03838383838383838,0.316726780883679,0.6278711369784409,6911
DSP,Logistic,0.03838383838383838,0.3203336339044184,0.6278711369784409,6911
DSP,Logistic,0.03878787878787879,0.3203336339044184,0.6278711369784409,6911
DSP,Logistic,0.03878787878787879,0.32326420198376915,0.6278711369784409,6911
DSP,Logistic,0.039191919191919194,0.32326420198376915,0.6278711369784409,6911
DSP,Logistic,0.039191919191919194,0.324165915238954,0.6278711369784409,6911
DSP,Logistic,0.039595959595959594,0.324165915238954,0.6278711369784409,6911
DSP,Logistic,0.039595959595959594,0.3255184851217313,0.6278711369784409,6911
DSP,Logistic,0.04040404040404041,0.3255184851217313,0.6278711369784409,6911
DSP,Logistic,0.04040404040404041,0.3279981965734896,0.6278711369784409,6911
DSP,Logistic,0.04080808080808081,0.3279981965734896,0.6278711369784409,6911
DSP,Logistic,0.04080808080808081,0.3311541929666366,0.6278711369784409,6911
DSP,Logistic,0.041212121212121214,0.3311541929666366,0.6278711369784409,6911
DSP,Logistic,0.041212121212121214,0.33160504959422904,0.6278711369784409,6911
DSP,Logistic,0.04202020202020202,0.33160504959422904,0.6278711369784409,6911
DSP,Logistic,0.04202020202020202,0.3318304779080252,0.6278711369784409,6911
DSP,Logistic,0.04242424242424243,0.3318304779080252,0.6278711369784409,6911
DSP,Logistic,0.04242424242424243,0.3322813345356177,0.6278711369784409,6911
DSP,Logistic,0.042828282828282827,0.3322813345356177,0.6278711369784409,6911
DSP,Logistic,0.042828282828282827,0.3334084761045987,0.6278711369784409,6911
DSP,Logistic,0.04363636363636364,0.3334084761045987,0.6278711369784409,6911
DSP,Logistic,0.04363636363636364,0.33363390441839497,0.6278711369784409,6911
DSP,Logistic,0.04404040404040404,0.33363390441839497,0.6278711369784409,6911
DSP,Logistic,0.04404040404040404,0.33543733092876465,0.6278711369784409,6911
DSP,Logistic,0.044444444444444446,0.33543733092876465,0.6278711369784409,6911
DSP,Logistic,0.044444444444444446,0.33701532912533816,0.6278711369784409,6911
DSP,Logistic,0.044848484848484846,0.33701532912533816,0.6278711369784409,6911
DSP,Logistic,0.044848484848484846,0.3374661857529306,0.6278711369784409,6911
DSP,Logistic,0.04525252525252525,0.3374661857529306,0.6278711369784409,6911
