subject_id,session_num,run_num,trial_idx,pre_pow_05_3hz,pre_pow_8_12hz,post_pow_05_3hz,post_pow_8_12hz,delta_pow_05_3hz,delta_pow_8_12hz
BAP191,3,5,21,,,0.015337942932382435,4.534330184541283e-05,,
BAP191,3,5,22,,,0.3503165037245609,0.0018338370228729783,,
BAP191,3,5,23,,,0.002454518759265857,1.3311177541295281e-05,,
BAP191,3,5,24,,,0.00957427839424506,9.270225903790058e-06,,
BAP191,3,5,25,,,0.017990045868454974,1.1880810383152545e-05,,
BAP191,3,5,26,,,0.032530756395509966,0.0003753303941453135,,
BAP191,3,5,27,,,0.09485784000727537,0.001061280059734283,,
BAP191,3,5,28,0.0,0.0,0.00447243519082403,2.7995489579341982e-06,0.00447243519082403,2.7995489579341982e-06
BAP191,3,5,29,,,0.1105238479032129,0.0007531077455827482,,
BAP191,3,5,30,,,0.005430201816897053,3.0626445863708314e-05,,
BAP193,3,1,1,,,0.03232570047471144,5.876564959942583e-05,,
BAP193,3,1,2,,,0.0011284745332750085,1.9871937108821463e-05,,
BAP193,3,1,3,,,0.003100649985485706,2.19724221007334e-05,,
BAP193,3,1,4,,,0.007130375999134777,0.00010983141096549471,,
BAP193,3,1,5,,,0.0019420533476385777,6.533550914332402e-05,,
BAP193,3,1,6,,,0.002090272306084729,4.154939941471027e-05,,
BAP193,3,1,7,,,0.00024581412676113063,5.039103117062186e-05,,
BAP193,3,1,8,,,0.0005218667495040646,1.23515583317939e-05,,
BAP193,3,1,9,0.0,0.0,0.00993990183549973,9.47840098689666e-05,0.00993990183549973,9.47840098689666e-05
BAP193,3,1,10,0.0,0.0,0.0001554260656621691,2.7863535396369607e-05,0.0001554260656621691,2.7863535396369607e-05
BAP193,3,1,11,,,0.00476329194687253,2.5551168248289256e-05,,
BAP193,3,1,13,0.0,0.0,0.000516293672918277,3.662267282889882e-05,0.000516293672918277,3.662267282889882e-05
BAP193,3,1,14,,,0.0005301920583776047,2.89339375320416e-05,,
BAP193,3,1,15,,,0.002685769624182588,1.2191740445046111e-05,,
BAP193,3,1,16,,,1.4601196900139828e-34,3.2964234829076135e-35,,
BAP193,3,1,17,,,1.3006243139798838e-05,8.071626052865364e-06,,
BAP193,3,1,18,0.0,0.0,0.006725797673293114,5.096424060244484e-06,0.006725797673293114,5.096424060244484e-06
BAP193,3,1,19,,,0.006533570654875528,5.141810675089853e-05,,
BAP193,3,1,20,,,0.002897996606507682,2.3121169029121955e-05,,
BAP193,3,1,21,,,1.211586425691326e-05,1.72429595996591e-07,,
BAP193,3,1,22,,,4.527569712791526e-34,6.420849178198415e-34,,
BAP193,3,1,23,0.0,0.0,2.143757656668078e-09,1.743184867685399e-09,2.143757656668078e-09,1.743184867685399e-09
BAP193,3,1,24,,,2.5481978469940165e-05,4.050695464560344e-05,,
BAP193,3,1,25,,,0.0036564324569417815,5.048913246804563e-05,,
BAP193,3,1,26,,,0.006530907598556475,3.2433890096103234e-05,,
BAP193,3,1,27,,,0.008742353272993584,0.00011062459604207516,,
BAP193,3,1,28,,,0.004759326927521642,1.533415762956116e-05,,
BAP193,3,1,29,0.0,0.0,0.001785891145587008,9.540576649929338e-07,0.001785891145587008,9.540576649929338e-07
BAP193,3,1,30,,,0.005458319217914667,8.526798767968367e-05,,
BAP194,2,1,1,,,0.04665800544936946,4.5218025429498066e-05,,
BAP194,2,1,2,,,0.035847894871121236,8.846135890943827e-05,,
BAP194,2,1,3,,,0.014992858243211084,0.0005775211632464959,,
BAP194,2,1,4,,,0.02518040879669712,8.659526701274706e-05,,
BAP194,2,1,5,0.0,0.0,0.024696126404971125,9.904226766092856e-05,0.024696126404971125,9.904226766092856e-05
